"","mu","Ne","Log.likelihood"
"459",9e-06,36,-4071.20079060454
"460",1e-06,37,-4004.86455378512
"461",1.5e-06,37,-3888.78461992692
"462",2e-06,37,-3825.59137002057
"463",2.5e-06,37,-3791.37801720133
"464",3e-06,37,-3775.49584117193
"465",3.5e-06,37,-3772.26449030473
"466",4e-06,37,-3778.29330095
"467",4.5e-06,37,-3791.3952255861
"468",5e-06,37,-3810.07696356794
"469",5.5e-06,37,-3833.27340436828
"470",6e-06,37,-3860.19810980701
"471",6.5e-06,37,-3890.25385009719
"472",7e-06,37,-3922.97638911845
"473",7.5e-06,37,-3957.99771097599
"474",8e-06,37,-3995.02113893127
"475",8.5e-06,37,-4033.80401062698
"476",9e-06,37,-4074.14531280335
"477",1e-06,38,-4003.96076869835
"478",1.5e-06,38,-3888.11466539637
"479",2e-06,38,-3825.15527100762
"480",2.5e-06,38,-3791.17579867066
"481",3e-06,38,-3775.52752809143
"482",3.5e-06,38,-3772.53010764624
"483",4e-06,38,-3778.79287368798
"484",4.5e-06,38,-3792.12877869918
"485",5e-06,38,-3811.04452203795
"486",5.5e-06,38,-3834.47499318073
"487",6e-06,38,-3861.63375395038
"488",6.5e-06,38,-3891.92357456389
"489",7e-06,38,-3924.88021890398
"490",7.5e-06,38,-3960.13567107952
"491",8e-06,38,-3997.39325435537
"492",8.5e-06,38,-4036.41030637769
"493",9e-06,38,-4076.98581389022
"494",1e-06,39,-4003.32274346525
"495",1.5e-06,39,-3887.68782390155
"496",2e-06,39,-3824.93963689708
"497",2.5e-06,39,-3791.17139559365
"498",3e-06,39,-3775.73437970068
"499",3.5e-06,39,-3772.94823759745
"500",4e-06,39,-3779.42230564074
"501",4.5e-06,39,-3792.96953631625
"502",5e-06,39,-3812.0966289851
"503",5.5e-06,39,-3835.73847312717
"504",6e-06,39,-3863.10863056897
"505",6.5e-06,39,-3893.60987153043
"506",7e-06,39,-3926.77795989804
"507",7.5e-06,39,-3962.24487978342
"508",8e-06,39,-3999.71395445539
"509",8.5e-06,39,-4038.942521563
"510",9e-06,39,-4079.72956785348
"511",1e-06,40,-4002.93724396337
"512",1.5e-06,40,-3887.49212029921
"513",2e-06,40,-3824.93375157409
"514",2.5e-06,40,-3791.35535093281
"515",3e-06,40,-3776.10819808807
"516",3.5e-06,40,-3773.51194142246
"517",4e-06,40,-3780.17591729602
"518",4.5e-06,40,-3793.9130781973
"519",5e-06,40,-3813.23012349114
"520",5.5e-06,40,-3837.0619426603
"521",6e-06,40,-3864.62209753472
"522",6.5e-06,40,-3895.31335833732
"523",7e-06,40,-3928.67148895782
"524",7.5e-06,40,-3964.32847351165
"525",8e-06,40,-4001.98763526986
"526",8.5e-06,40,-4041.4063118855
"527",9e-06,40,-4082.38349010884
"528",1e-06,41,-4002.79203502434
"529",1.5e-06,41,-3887.51649434667
"530",2e-06,41,-3825.12772976828
"531",2.5e-06,41,-3791.71895443733
"532",3e-06,41,-3776.64144806981
"533",3.5e-06,41,-3774.21485905079
"534",4e-06,41,-3781.04852374397
"535",4.5e-06,41,-3794.9553946406
"536",5e-06,41,-3814.44217110906
"537",5.5e-06,41,-3838.44374263492
"538",6e-06,41,-3866.1736710512
"539",6.5e-06,41,-3897.03472658423
"540",7e-06,41,-3930.56267312654
"541",7.5e-06,41,-3966.38949479662
"542",8e-06,41,-4004.21851486919
"543",8.5e-06,41,-4043.80707099964
"544",9e-06,41,-4084.95414994191
"545",1e-06,42,-4002.8757819065
"546",1.5e-06,42,-3887.75070916799
"547",2e-06,42,-3825.51243251512
"548",2.5e-06,42,-3792.25416509918
"549",3e-06,42,-3777.32718663883
"550",3.5e-06,42,-3775.05114552265
"551",4e-06,42,-3782.03537811673
"552",4.5e-06,42,-3796.09283691607
"553",5e-06,42,-3815.73022129115
"554",5.5e-06,42,-3839.8824207312
"555",6e-06,42,-3867.76299707213
"556",6.5e-06,42,-3898.77472054294
"557",7e-06,42,-3932.45335503947
"558",7.5e-06,42,-3968.43088468321
"559",8e-06,42,-4006.41063275155
"560",8.5e-06,42,-4046.14993690335
"561",9e-06,42,-4087.44778389519
"562",1e-06,43,-4003.17796359535
"563",1.5e-06,43,-3888.18527084292
"564",2e-06,43,-3826.07939303198
"565",2.5e-06,43,-3792.95354331677
"566",3e-06,43,-3778.15900141872
"567",3.5e-06,43,-3776.01541572943
"568",4e-06,43,-3783.13212261788
"569",4.5e-06,43,-3797.32207458185
"570",5e-06,43,-3817.09197099479
"571",5.5e-06,43,-3841.37670134874
"572",6e-06,43,-3869.38982748254
"573",6.5e-06,43,-3900.53411962817
"574",7e-06,43,-3934.34534168434
"575",7.5e-06,43,-3970.4554777752
"576",8e-06,43,-4008.56785118118
"577",8.5e-06,43,-4048.43979956426
"578",9e-06,43,-4089.87030968341
"579",1e-06,44,-4003.6887962736
"580",1.5e-06,44,-3888.81135754209
"581",2e-06,44,-3826.82075151931
"582",2.5e-06,44,-3793.81019136204
"583",3e-06,44,-3779.13095679496
"584",3.5e-06,44,-3777.10269621202
"585",4e-06,44,-3784.33474598521
"586",4.5e-06,44,-3798.64005861496
"587",5e-06,44,-3818.52533347771
"588",5.5e-06,44,-3842.92546006816
"589",6e-06,44,-3871.05400022773
"590",6.5e-06,44,-3902.31372419145
"591",7e-06,44,-3936.24039586074
"592",7.5e-06,44,-3972.46599936249
"593",8e-06,44,-4010.69385798006
"594",8.5e-06,44,-4050.68130937787
"595",9e-06,44,-4092.22734031805
"596",1e-06,45,-4004.39916556647
"597",1.5e-06,45,-3889.62075688792
"598",2e-06,45,-3827.72919763696
"599",2.5e-06,45,-3794.81770097297
"600",3e-06,45,-3780.23754662324
"601",3.5e-06,45,-3778.30838298453
"602",4e-06,45,-3785.63954643143
"603",4.5e-06,45,-3800.04398946702
